scenario,candidate,reference,metric,mean_diff,ci_low,ci_high,relative_pct,n_seeds,verdict
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_propensity_ev_no_effort_model,hist_profit_per_agent_hour,net_value_per_1k_leads,7276.796115324828,-1736.2126105375137,14353.972512709437,3.313723512863036,6,no meaningful evidence of difference
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_propensity_ev_no_optimizer,hist_profit_per_agent_hour,net_value_per_1k_leads,5911.744091360907,-2288.79930889971,13219.990001643933,2.6921031023963615,6,no meaningful evidence of difference
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_propensity_ev_no_value_model,hist_profit_per_agent_hour,net_value_per_1k_leads,13418.20931538759,6336.442681512625,20407.692530998498,6.110413842058408,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_t_learner_no_effort_model,hist_profit_per_agent_hour,net_value_per_1k_leads,12734.194428910787,3757.4538670725597,22838.501513770778,5.798925629863893,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_t_learner_no_optimizer,hist_profit_per_agent_hour,net_value_per_1k_leads,11484.879276435488,3956.3419291126193,19211.881770451564,5.23000973197101,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,abl_t_learner_no_value_model,hist_profit_per_agent_hour,net_value_per_1k_leads,15272.860421272473,7591.661537319192,22341.18255124247,6.954988965550627,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,oracle,hist_profit_per_agent_hour,net_value_per_1k_leads,71370.65615483586,55813.44147961648,90551.65694990387,32.500927287308684,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,propensity_ev_gbm,hist_profit_per_agent_hour,net_value_per_1k_leads,22646.03056498525,12897.13731719576,32446.712104476464,10.31259949666142,6,better
abl_agent_time_heterogeneity|agent_time_heterogeneity|0.25,t_learner,hist_profit_per_agent_hour,net_value_per_1k_leads,17599.484791278603,8974.948133835225,28355.779012424435,8.014492318166589,6,better
abl_capacity_value_heterogeneity|capacity_value_heterogeneity|0.25,abl_propensity_ev_no_effort_model,hist_profit_per_agent_hour,net_value_per_1k_leads,13640.65052789017,-6982.1711030255055,41789.35860043912,2.9375341789652127,6,no meaningful evidence of difference
abl_capacity_value_heterogeneity|capacity_value_heterogeneity|0.25,abl_propensity_ev_no_optimizer,hist_profit_per_agent_hour,net_value_per_1k_leads,13195.52712563046,-7408.464726623807,41350.99532983432,2.84167619878152,6,no meaningful evidence of difference
