scenario,regime,capacity_ratio,candidate,metric,mean,sd,ci_low,ci_high,n_seeds,family,pct_of_oracle_incremental,fit_seconds,predict_seconds,share_treated
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,oracle,net_value_per_1k_leads,290966.4096049396,127854.67236148102,205220.38453371075,390278.87997648306,6,,100.0,1.6044999332128402e-06,0.0005524576666478333,0.35847459891045413
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,propensity_ev_gbm,net_value_per_1k_leads,242241.78401508892,111097.81572813333,168275.3942627219,329524.8275402782,6,,58.54880592737067,1.6370232718330346,0.2500715371667563,0.22716960541786213
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,t_learner,net_value_per_1k_leads,237195.2382413823,114513.74509963719,162131.47843345432,328154.1478397203,6,,53.59016942497461,2.403046004499932,0.3073826821664625,0.24810631195370772
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_value_model,net_value_per_1k_leads,234868.61387137615,110360.43116360225,163285.71311680664,322871.34770221036,6,,52.46985864838402,2.065325601333219,0.2264425171667123,0.2583760455339788
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_value_model,net_value_per_1k_leads,233013.96276549125,102463.11547542637,166247.337780653,314069.8153761272,6,,51.85084114871594,1.3368934761665514,0.17009634333317078,0.23658449038877383
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_effort_model,net_value_per_1k_leads,232329.9478790145,113902.99815795699,157494.632116236,322512.1867401757,6,,49.182713332196016,1.953974604166433,0.24714036950020576,0.2005081236560566
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_optimizer,net_value_per_1k_leads,231080.63272653916,111194.66209846646,157453.16279562665,318621.7464475231,6,,48.462315416317175,2.4026840110000194,0.3076955044995581,0.195868587074555
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_effort_model,net_value_per_1k_leads,226872.5495654285,104214.4191373969,157170.44322525113,307876.051590822,6,,45.68074920557137,1.2732575476672234,0.1867614761661874,0.1722496359557956
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_optimizer,net_value_per_1k_leads,225507.49754146455,101363.87821444275,157131.29479070782,303812.5560977876,6,,44.90200863829918,1.6816124468332418,0.25117093533269025,0.1697746220563662
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,hist_profit_per_agent_hour,net_value_per_1k_leads,219595.7534501037,105842.08345178654,148903.5883742862,302472.5799428388,6,,39.00471352446674,0.054249941333485624,0.0012766728332280334,0.24493679408339508
