share_measured,candidate,rmse,mae,spearman,pct_of_oracle_selection
0.15,ridge_on_features,0.2910742273299551,0.2350740260482137,0.8284401859773817,94.51061301864011
0.15,pie_bart,0.34046704612425893,0.27281953684860794,0.7512601996708268,89.47601195854647
0.15,reported_roas,0.473439988711614,0.30494794269326836,0.8231930533878677,90.24788220411251
0.15,gbm_on_features,0.49333516339085604,0.40775920111982394,0.3115113842495285,61.00031551863441
0.15,global_mean_measured,0.5113639087584261,0.42277065992938456,,38.8848540563395
0.35,ridge_on_features,0.27374686327445213,0.2199284519526159,0.8530424683684227,88.92260883493265
0.35,pie_bart,0.3155339347736576,0.25347736374390545,0.7866108687273697,89.96392178244048
0.35,gbm_on_features,0.42990779326439177,0.3456786234064894,0.6779781869509923,82.10255731276878
0.35,reported_roas,0.4792532463900761,0.3064613837592242,0.819340255356174,90.6784850620532
0.35,global_mean_measured,0.5057845707410936,0.41997238070465065,,36.16901558744598
0.6,ridge_on_features,0.19585400315939028,0.1568861751540386,0.9302091944589339,95.90371347571183
0.6,pie_bart,0.2732439674148089,0.21831951689336648,0.8418833366164816,92.55592001809184
0.6,gbm_on_features,0.37407413919787663,0.29801304899911324,0.72926811155435,83.46905041457653
0.6,reported_roas,0.4978759670645674,0.3172579310804219,0.8030762949489466,90.09752556902593
0.6,global_mean_measured,0.5093143815711362,0.4239161335076079,,37.442808834481
