dataset,budget,candidate,dr_value,dr_ci_low,dr_ci_high,snips_value,qini,ess,n_seeds
criteo_conversion,0.1,x_learner,0.0017713490695404333,0.0012320773500054665,0.002355604817779733,0.0016685729729482334,0.028981348625155067,20612.54815059292,3
criteo_conversion,0.1,t_learner,0.0017604093262380334,0.0013671020917361998,0.0021852809737955333,0.0017009425696180335,0.09022892839466186,20630.89406162619,3
criteo_conversion,0.1,response_score,0.0017308479495348665,0.0013689032642344664,0.0021232023270231003,0.0017386830877893667,0.08693179484421414,20640.738463468515,3
criteo_conversion,0.1,dr_learner,0.0016421635878438332,0.0010924843536218333,0.002249599729169833,0.0016018070303406,0.04782548916566153,20531.5575698771,3
criteo_conversion,0.1,s_learner,0.0016381197177320669,0.0011276910781714,0.002141099579118733,0.001558617923739,0.0547924501739076,20544.533792152135,3
criteo_conversion,0.1,causal_forest,0.0016122155273516666,0.0011656974207712,0.0021081770894175998,0.0015971667689743,0.0371767021310329,20626.867143465588,3
criteo_conversion,0.1,random,0.0014095863449239334,0.0008088172796327668,0.002060275568472033,0.0014010351923312667,0.04613826184949436,20492.181511926134,3
criteo_conversion,0.1,class_transformation,0.0013914328313020666,0.0009124045526999001,0.0018666113107012666,0.0013791842451554,-0.020287083140600404,20478.757813719047,3
criteo_conversion,0.25,t_learner,0.0003231972833941793,-4.679977764703954e-05,0.0006893695440037999,0.00026871035074268866,0.09022892839466186,23811.662953863746,3
criteo_conversion,0.25,s_learner,0.0002880744263208,-0.0002423007436726667,0.0007583430163686333,0.0002151757439269,0.0547924501739076,23690.569423435678,3
criteo_conversion,0.25,response_score,0.0002541292066327667,-5.9248746080593945e-05,0.0006010513897247333,0.0002660077291506,0.08693179484421414,23828.520292562593,3
criteo_conversion,0.25,x_learner,0.00020701035989818814,-0.0002930503561771,0.0007736831119883,0.00010551130527824006,0.028981348625155067,23789.92719534038,3
criteo_conversion,0.25,causal_forest,0.0001880966535763856,-0.00022623017875256666,0.0006552254573042,0.00019053118913087618,0.0371767021310329,23767.747386957726,3
criteo_conversion,0.25,dr_learner,2.6847556115133336e-05,-0.0005016041397901334,0.0005741283872309964,-1.435427830009999e-05,0.04782548916566153,23793.039189608822,3
criteo_conversion,0.25,random,2.1575936097531093e-05,-0.0005327314525473666,0.0006354362251162333,6.437761069091431e-06,0.04613826184949436,23703.43237661221,3
criteo_conversion,0.25,class_transformation,-5.416264518520677e-05,-0.0004918233032953,0.0004185269133513667,-6.949618714121261e-05,-0.020287083140600404,23668.39498859619,3
criteo_conversion,0.5,t_learner,-0.0020388894743551666,-0.0024063809640023,-0.0016527309657941667,-0.0020927700839325,0.09022892839466186,32085.5451919217,3
criteo_conversion,0.5,response_score,-0.0021037626032253667,-0.0024228885309608666,-0.0017780094827798667,-0.0020907177693883336,0.08693179484421414,32073.615601593276,3
criteo_conversion,0.5,s_learner,-0.0021279783313878334,-0.0026695643715727666,-0.0016472238667892668,-0.0022126375314736,0.0547924501739076,32048.479728295526,3
criteo_conversion,0.5,x_learner,-0.002234908671454433,-0.0027480304758312,-0.0016603404593490334,-0.0023381868999123334,0.028981348625155067,31994.442188666668,3
criteo_conversion,0.5,random,-0.0022907399702759,-0.002806675966152767,-0.0017369787517986,-0.0023047201619001,0.04613826184949436,32088.348726692337,3
