candidate,pct_of_oracle_incremental,net_value_per_1k_leads,net_value_per_agent_hour,share_treated
oracle,100.0,436029.5487706408,9144.093542821684,0.3480718786564498
propensity_ev_logit,58.47551154686178,356492.823378541,7476.631904113809,0.2783626513519664
s_learner,58.33617714963077,358176.1493213678,7525.745733507579,0.29251561045984836
x_learner,57.60524603683583,356487.1210499752,7480.405161576295,0.32045375455763986
t_learner,54.47558597234249,351934.8409838637,7401.718797094101,0.28997810594759116
propensity_ev_gbm,54.45273680179048,349168.3207767646,7328.646654464975,0.27388894278792775
funnel_ev_gbm,53.697703873613335,348124.1507755185,7298.727666033733,0.2760132244708387
causal_forest,52.68523119258828,347761.97196445806,7305.848482301887,0.3606278198737662
hist_profit_per_agent_hour,49.276147157799805,342257.9382352515,7258.656337591914,0.38878489273416483
dr_learner,49.27465077208632,342577.756019123,7209.436231866697,0.36198628821015205
class_transformation,42.176891931983945,328353.3862972954,6906.130977921616,0.30745865072308476
hist_conversion_rate,41.326307681920035,330563.4673949568,6958.289157894403,0.25062957184305823
hist_net_profit,39.538130774615915,327390.3041452824,6909.126917641409,0.24856437331732387
lead_score_gbm,39.221857316428405,321172.695404596,6749.3513645571975,0.18641106145233743
lead_score_logit,37.616528630555145,317632.3264304832,6652.050990148365,0.17933805565668856
hist_roas,34.03846207308368,316921.42532473756,6664.320882719687,0.23447663586508108
existing_policy_capped,31.033243820413357,310635.69441963616,6498.46608211058,0.23161465809273252
last_click_attribution,28.97882726321323,306600.1675496994,6439.469156515171,0.23713766186493465
existing_policy_replay,27.920716764582156,303784.7142846866,6366.410484074396,0.24967849468361183
call_everyone,27.31449549875209,303543.48316897894,6395.827794738689,0.25083304312288685
lowest_cpl,27.182845506979334,302930.5070492891,6377.009668720067,0.21253398043180513
fifo,25.7539403920312,300288.98847722897,6313.0696656761465,0.24721569422648815
random,24.543721120392647,300765.0141847272,6323.057853661684,0.2463200712093003
do_nothing,0.0,253183.13731763183,,0.0
