candidate,agent_time_heterogeneity,capacity_value_heterogeneity,concept_drift,delayed_censored,easy_randomized,hidden_confounding,misleading_attribution,negative_control_null_effect,noisy_crm,observed_confounding,policy_feedback_loop,propensity_not_uplift,rare_outcome,seasonality_trend,selection_bias,sparse,strong_heterogeneity,value_heterogeneity,very_rare_outcome
abl_bayes_no_hierarchy,,,,,,14.697397543603646,,,,,,11.072076936880501,,,,12.187956596299841,,,15.170577394745921
abl_propensity_ev_no_effort_model,20.130592338087496,16.132123750208393,,,,,,,,,,12.197843766350447,,,,19.88701512630079,,23.502154048570276,
abl_propensity_ev_no_optimizer,19.60670783073466,16.042920724189482,,,,,,,,,,12.162886340275216,,,,19.90149492602381,,23.568029092171216,
abl_propensity_ev_no_value_model,22.487565678504403,27.31884533457675,,,,,,,,,,10.477869140803435,,,,18.408680385812975,,22.00296540453233,
abl_t_learner_no_effort_model,22.225052019293585,22.98761237027378,,,,,,,,,,16.221810143690625,,,,17.47572287406834,,22.50481545910567,
abl_t_learner_no_optimizer,21.745585418978674,23.38083291468661,,,,,,,,,,16.227341378303695,,,,17.39443700410094,,22.54451833543239,
abl_t_learner_no_value_model,23.199350258037455,30.529963091040262,,,,,,,,,,16.01425446880167,,,,16.57109380803942,,21.711479124497508,
bayes_hierarchical,,,,,,31.19403976400318,,,,,,26.963292372220995,,,,29.418258692843477,,,34.87810136037768
bayes_hierarchical_abstain25,,,,,,2.2619361888661014,,,,,,1.9184360929675297,,,,4.319991371056253,,,-0.005505442445417178
bayes_hierarchical_abstain50,,,,,,8.667110101508861,,,,,,9.997787335939476,,,,12.21571997801686,,,0.2390439410273956
bayes_hierarchical_lcb10,,,,,,15.155514854759788,,,,,,12.990490252533947,,,,14.7270592786541,,,17.529517217700313
bayes_hierarchical_lcb25,,,,,,15.834758828997437,,,,,,13.564900640927062,,,,14.584091005308524,,,16.271447615188794
call_everyone,15.209306214285919,12.55175796316996,2.7447339779961415,27.840315101221844,27.84027457973398,18.92758885169407,28.268773217662623,,28.19710151293194,27.930133640511908,27.824919392849022,11.422438800859702,28.286280052334966,28.742961947661424,27.7636935218846,12.333209335381222,23.735699060794122,13.648208613964096,16.588665987456984
causal_forest,29.417341655344153,36.637095491829776,41.007114169381126,56.02968658657657,55.648376683003704,33.49491091194497,54.16289397866651,,,54.94084203045859,49.9360713105324,18.98459462278586,50.152628322046866,52.22915997333143,53.62133866127237,21.56421904593186,66.45653345624613,23.81178554965665,39.62455076508628
class_transformation,25.877421371406147,27.278217373617146,17.864081522533393,44.81111864644376,45.17559397152077,19.72647221610493,41.065663050529324,,42.38192786115864,14.761553350853513,36.92095651401909,16.121678431208522,31.3360683691817,44.140811031932294,21.09432857350244,16.560033683625413,55.4933189798066,21.011502822813423,17.81296718046969
do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr_learner,29.00503740866834,35.611135142311475,41.692894843739985,54.64915390805287,54.637887292327264,33.891535925264996,50.3245159497888,,,53.43779478087004,41.864481774449324,17.938462345875273,41.81236695573173,50.64290582835177,50.556284366255625,21.591222403427277,65.93652006038552,23.74664666921807,25.483170878414075
existing_policy_capped,19.885182624117498,14.694765597548436,4.292155530036229,35.81835175089791,36.068657946655605,31.36656969341256,35.67022201321816,,36.42648766881534,46.28547725998565,31.034813278634253,12.766814310991869,32.0980854491358,32.96993214983762,47.45843754099394,17.37932328616919,26.34236581713564,19.604778992546194,18.92257874885878
existing_policy_replay,15.960963984165916,13.026857999470886,5.941942032845329,29.623508014675174,29.623508014675174,28.311936039198788,30.011717811182997,,29.005031759261417,41.777965666539345,24.0403896094717,11.156504397406552,22.663938061242202,28.47793518138348,38.3226518556899,12.01737073663072,25.458460074716047,14.822222086362522,15.091488237081581
fifo,14.255955904143432,10.690246240904411,-1.2441393703541683,26.18936294974214,26.189781338278543,19.67780935704179,27.644956231172422,,26.53308083073722,29.037182147239108,26.226574753122552,10.398261944311306,25.87553720799196,23.613183079651687,26.22112906540579,11.588466567983476,23.930574787178315,13.013489329325642,17.121460127471284
funnel_ev_gbm,32.56530561275226,28.164328201000977,67.18606682855874,61.45667316571434,62.45277130502361,36.39992375886115,62.30198858956482,,57.53393509387048,62.84281850523941,59.86209830276007,15.406235089592672,65.0739764233246,58.72619015146921,61.787627819826064,25.13723504432992,63.08522539691125,29.065912448597214,45.270738205110085
hist_conversion_rate,22.831748118741697,17.76017680869594,22.965443082799112,43.03278920677167,42.79540791293535,25.284301837067773,42.70535393550546,,41.85365556299871,37.31029529697004,38.815100861761444,17.061235976387422,38.102433851592345,41.40888774129059,44.753588796396535,18.255337133727362,31.093389807063744,22.637157330690314,26.887418422665732
hist_net_profit,21.633825266305948,17.513890103207817,17.11593471048993,40.70436958010119,39.59138795646051,24.24745437799886,42.537353532955436,,41.489013454062196,35.780291220723,37.72133844668627,15.094891544324472,35.42044061577994,38.90547173215478,40.06292679357275,18.01261541683971,31.59412049408471,20.230892635222002,26.728003302588
hist_profit_per_agent_hour,39.144482727230134,30.964696841539638,17.008600468103296,40.70436958010119,39.255207604688565,36.22665099730047,42.78611902502325,,40.1018920004942,35.31131445358926,37.69844294948437,35.40158716817701,34.753140333107325,38.126500048041365,39.445365405153105,42.14521278772511,31.129837420351965,36.009000287247616,41.96461484008336
hist_roas,19.334567974629138,15.843347746001916,10.985232660094802,35.08989696829753,35.31493776148147,22.162384286665176,37.17099738409696,,34.687273929891894,32.70349751196849,33.85087997520823,12.958099046007558,33.60037523350205,34.11051273202278,34.645938008883036,16.187314709106953,28.276815663268703,19.241233697891573,25.101361735182028
last_click_attribution,17.469272167476955,12.497459644173961,6.283929057759925,32.10702441967307,32.10673375998188,20.451511414557686,32.92822688317908,,32.37610145509703,30.178880756273713,32.11064613192723,12.838293074588586,29.762103884005626,33.26301433369136,32.26121574092697,13.722294808727373,27.01924697212365,15.730922250117112,21.758273156155017
lead_score_gbm,20.061693073596757,14.661775352046877,61.50678029322787,56.100168036670844,56.20624793239982,32.13975559064553,57.197773372656435,,50.992573938329926,58.183044719928446,54.51908879133,11.281915911963734,64.85934571018741,50.59649292618551,57.01407654951049,22.788822762363917,54.26340045351785,27.166692184233643,46.21776365162158
lead_score_logit,19.53561038535608,14.35435086330761,71.67005672767274,58.78813976701638,58.25966208764025,32.91538430004379,61.847252468596835,,55.25874692280002,58.24516091909823,58.556535016332255,12.090869590382162,69.66602977961578,53.2524768267586,57.951955205600584,24.712403675228636,56.266199310398726,28.05780500576208,51.174220635487764
lowest_cpl,17.974002486142844,13.595024703752454,-5.5215090366844635,33.107603444098324,33.31167971185996,20.57377967300378,29.248462994123685,,32.91437016947955,30.359303567924467,32.822508752955244,10.507484752018957,32.11751093937409,33.692044490721074,33.06159446556808,11.498087270877637,29.20377965272832,18.67133546569642,19.84191659047929
propensity_ev_gbm,57.95971328896603,50.493487537917744,71.31676951737145,61.767808000186015,62.05134324939696,52.36130995088602,61.8730683883033,,56.40532418819882,62.70409469318405,60.35646168368898,37.281875551313405,65.10682690347367,56.661044937970715,62.63055016749899,58.41697782070153,63.08582975043713,52.575604358338055,65.14376937551806
propensity_ev_gbm_bootstrap,,,,,,17.230302541120945,,,,,,10.032680158402224,,,,13.661864264392998,,,20.09042291953236
propensity_ev_gbm_bootstrap_abstain25,,,,,,3.4888924378251613,,,,,,2.2714444725185827,,,,6.09775222746477,,,7.939528914060473
propensity_ev_gbm_bootstrap_abstain50,,,,,,10.585597892302236,,,,,,5.5835094107549095,,,,10.399624052764715,,,13.016783059311628
propensity_ev_gbm_bootstrap_lcb10,,,,,,14.257193468539773,,,,,,8.493241751871631,,,,13.028781992451888,,,18.027175046843205
propensity_ev_gbm_bootstrap_lcb25,,,,,,17.660693653683808,,,,,,8.989493088659883,,,,12.829412980006097,,,17.991987090742214
propensity_ev_logit,33.736167777289765,25.215112189449318,76.53104314134656,65.41279645616895,65.30405941048942,37.25512349420306,64.89334321697164,,59.79904473465037,64.17319479768175,62.62692730817818,14.905070753629275,67.53001753696043,58.810541102783986,65.42729574742333,26.58738097457815,57.342853765688176,30.501511088162392,49.639271625747234
